Community Name,SPA,SD,CD,SSD,AD,USCD,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
Miracle Mile,4,3,5,26,50,28,95,0,0,7,14,28,2,7,12,24,55,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,202
Mission Hills,2,3,7,18,39,29,9,0,0,2,5,7,1,9,4,8,14,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51
Monrovia,3,5,0,25,41,27,14,0,0,3,2,15,1,2,5,4,30,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,59
Montebello,7,1,0,22,49,38,18,0,0,7,5,2,2,4,11,8,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,52
Monterey Park,3,1,0,22,49,27,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
North El Monte,3,5,0,22,49,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
North Hills,2,3,12,18,46,29,131,1,6,4,20,21,5,50,6,35,41,8,81,0,0,0,0,0,0,0,1,0,0,42,2,4,0,0,0,0,0,0,0,0,308,0,47,0,47,355
North Hollywood,2,3,2,18,39,29,190,0,0,48,57,142,14,37,78,98,274,23,60,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,723,0,9,0,9,732
Northridge,2,5,12,27,38,30,26,0,0,13,9,27,0,8,22,16,54,0,13,0,20,74,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,83,0,0,83,214
Norwalk,7,4,0,32,57,38,56,2,13,21,17,9,1,2,33,29,18,2,4,0,0,0,0,0,0,0,35,0,0,3,0,0,0,0,0,0,0,0,0,0,155,0,38,0,38,193
