censusTract,Year,City,CommunityName,Detailed_Name,SPA,SD,CD,SSD,AD,USCD,DemogSurveySample,YouthCountSample,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
536102,2016,South Gate,South Gate,South Gate,7,1,0,33,63,44,Yes,No,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
536103,2016,South Gate,South Gate,South Gate,7,1,0,33,63,44,Yes,No,6,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
536104,2016,South Gate,South Gate,South Gate,7,1,0,33,63,44,No,No,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
536200,2016,South Gate,South Gate,South Gate,7,1,0,33,63,44,No,No,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
540000,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540101,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,No,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
540102,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,Yes,No,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
540201,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,Yes,No,8,0,0,1,1,0,0,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
540202,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540203,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,Yes,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
540300,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,No,16,0,0,0,1,3,3,4,0,2,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
540400,2016,Unincorporated Lynwood,Lynwood,Unincorporated Lynwood,6,2,0,35,63,44,No,No,0,0,0,0,0,1,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
540501,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,Yes,No,0,0,0,3,1,0,0,3,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
540502,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540600,2016,Willowbrook,Willowbrook,Willowbrook,6,2,0,35,64,44,No,No,15,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
540700,2016,Willowbrook,Willowbrook,Willowbrook,6,2,0,35,64,44,No,No,25,0,0,0,1,6,7,0,0,2,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49
540800,2016,Willowbrook,Willowbrook,Willowbrook,6,2,0,35,64,44,No,No,8,0,0,0,1,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
540901,2016,Willowbrook,Willowbrook,Willowbrook,6,2,0,35,64,44,No,No,15,0,0,2,0,8,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33
540902,2016,Willowbrook,Willowbrook,Willowbrook,6,2,0,35,64,44,Yes,No,5,0,0,17,13,72,1,2,26,22,137,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,195
541001,2016,West Compton,West Compton,West Compton,6,2,0,35,64,44,Yes,No,4,0,0,10,9,19,2,0,16,15,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,74
541002,2016,Carson,Carson,Carson,8,2,0,35,64,44,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541100,2016,West Compton,West Compton,West Compton,6,2,0,35,64,44,No,No,0,0,0,3,5,16,0,0,5,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,45
541200,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,9,0,0,0,1,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
541300,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,Yes,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
541400,2016,Willowbrook,Willowbrook,Willowbrook,6,2,0,35,64,44,No,No,1,0,0,2,0,6,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
541500,2016,Willowbrook,Willowbrook,Willowbrook,6,2,0,35,64,44,No,No,2,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
541603,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,0,0,0,0,0,3,2,11,0,0,6,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27
541604,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,16,0,0,0,1,3,0,2,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27
541605,2016,Compton,Compton,Compton,6,2,0,35,64,44,Yes,No,12,0,0,1,1,2,2,1,2,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
541606,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,5,0,0,1,1,2,6,0,2,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
